#
#--------LOG from Wed 09 Jul 2014 at 17h:36m:03s ---------
#
#voltage(V)	current(A)	timestamp
  -0.004	-1.9264e-09	1404941655
 -10.013	-8.6373e-09	1404941659
 -20.017	-1.2963e-08	1404941663
 -30.028	-1.7989e-08	1404941667
 -40.010	-2.4501e-08	1404941671
 -50.019	-3.2299e-08	1404941675
 -60.021	-4.6442e-08	1404941679
 -70.030	-5.4332e-08	1404941683
 -80.019	-6.1730e-08	1404941687
 -90.028	-6.8332e-08	1404941691
-100.036	-7.7518e-08	1404941695
-110.019	-8.4967e-08	1404941699
-120.028	-9.1364e-08	1404941703
-130.034	-9.9141e-08	1404941707
-140.044	-1.0750e-07	1404941711
-150.033	-1.1754e-07	1404941715
-160.042	-1.2796e-07	1404941719
-170.046	-1.3806e-07	1404941723
-180.055	-1.4931e-07	1404941727
-190.038	-1.6009e-07	1404941731
-200.047	-1.7314e-07	1404941735
-210.051	-1.8471e-07	1404941739
-220.061	-2.0248e-07	1404941743
-230.049	-1.9659e-05	1404941755
-240.065	-7.3344e-05	1404941759
-243.295	-9.9998e-05	1404941763
