Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])

+2.848882e-03 +8.467722e-01 +9.636203e+02 +3.447541e+02     Pix  0  0
+2.862988e-03 +8.321163e-01 +9.503150e+02 +3.339387e+02     Pix  0  1
+2.753251e-03 +8.012139e-01 +9.748809e+02 +2.980450e+02     Pix  0  2
+2.700839e-03 +7.835541e-01 +1.002304e+03 +3.091652e+02     Pix  0  3
+2.904199e-03 +8.659262e-01 +9.394749e+02 +3.417466e+02     Pix  0  4
+2.700576e-03 +8.007911e-01 +9.736563e+02 +3.012822e+02     Pix  0  5
+2.861903e-03 +8.530493e-01 +9.540232e+02 +3.548239e+02     Pix  0  6
+2.768004e-03 +8.320377e-01 +9.688216e+02 +3.178377e+02     Pix  0  7
+2.782126e-03 +8.367301e-01 +9.607511e+02 +3.118602e+02     Pix  0  8
+2.825112e-03 +8.439340e-01 +9.553106e+02 +3.413393e+02     Pix  0  9
+2.883069e-03 +7.889298e-01 +9.577618e+02 +3.195167e+02     Pix  0 10
+2.739874e-03 +7.948591e-01 +9.640220e+02 +2.918353e+02     Pix  0 11
+2.815231e-03 +8.108037e-01 +9.567015e+02 +3.460539e+02     Pix  0 12
+2.810269e-03 +8.235346e-01 +9.541693e+02 +3.209502e+02     Pix  0 13
+2.881637e-03 +8.799806e-01 +9.254680e+02 +3.347074e+02     Pix  0 14
+2.770623e-03 +8.167211e-01 +9.738101e+02 +3.107269e+02     Pix  0 15
+2.855899e-03 +8.308088e-01 +9.576836e+02 +3.186634e+02     Pix  0 16
+2.792958e-03 +8.291034e-01 +9.562090e+02 +2.875129e+02     Pix  0 17
+2.733778e-03 +7.974228e-01 +9.820563e+02 +3.188539e+02     Pix  0 18
+2.786493e-03 +8.035499e-01 +9.625580e+02 +3.119195e+02     Pix  0 19
+2.718718e-03 +7.527014e-01 +9.848440e+02 +2.678324e+02     Pix  0 20
+2.775372e-03 +8.607009e-01 +9.556891e+02 +3.358223e+02     Pix  0 21
+2.727704e-03 +7.616350e-01 +9.825800e+02 +2.940068e+02     Pix  0 22
+2.659999e-03 +7.645867e-01 +1.004311e+03 +2.392413e+02     Pix  0 23
+2.780676e-03 +8.291096e-01 +9.644535e+02 +3.298210e+02     Pix  0 24
+2.638063e-03 +8.043398e-01 +9.947098e+02 +2.825868e+02     Pix  0 25
+2.830127e-03 +8.432594e-01 +9.388770e+02 +3.202274e+02     Pix  0 26
+2.707195e-03 +8.262397e-01 +9.785000e+02 +3.095095e+02     Pix  0 27
+2.766328e-03 +8.527780e-01 +9.519047e+02 +3.182792e+02     Pix  0 28
+2.729503e-03 +8.364025e-01 +9.643800e+02 +2.822951e+02     Pix  0 29
+2.634543e-03 +7.884030e-01 +9.950840e+02 +2.909281e+02     Pix  0 30
+2.780856e-03 +8.234350e-01 +9.522052e+02 +3.240750e+02     Pix  0 31
+2.676392e-03 +8.048964e-01 +9.859622e+02 +2.624656e+02     Pix  0 32
+2.801992e-03 +8.284107e-01 +9.605675e+02 +3.128973e+02     Pix  0 33
+2.705624e-03 +8.579026e-01 +9.649787e+02 +3.038851e+02     Pix  0 34
+2.749033e-03 +7.568416e-01 +9.844304e+02 +2.602191e+02     Pix  0 35
+2.658787e-03 +7.607217e-01 +9.975438e+02 +2.838471e+02     Pix  0 36
+2.711390e-03 +8.176403e-01 +9.736199e+02 +2.886855e+02     Pix  0 37
+2.853017e-03 +8.694585e-01 +9.292700e+02 +3.133062e+02     Pix  0 38
+2.788963e-03 +8.175256e-01 +9.594211e+02 +3.256771e+02     Pix  0 39
+2.731955e-03 +7.744646e-01 +9.794849e+02 +2.988899e+02     Pix  0 40
+2.830977e-03 +8.366648e-01 +9.402300e+02 +3.037331e+02     Pix  0 41
+2.790135e-03 +8.216162e-01 +9.656832e+02 +3.201472e+02     Pix  0 42
+2.806295e-03 +8.154838e-01 +9.534483e+02 +3.212666e+02     Pix  0 43
+2.611929e-03 +7.804578e-01 +9.918500e+02 +2.541685e+02     Pix  0 44
+2.690293e-03 +8.261997e-01 +9.704597e+02 +3.024526e+02     Pix  0 45
+2.716447e-03 +8.061113e-01 +9.669074e+02 +3.036550e+02     Pix  0 46
+2.615159e-03 +7.590207e-01 +9.961436e+02 +2.492523e+02     Pix  0 47
+2.777208e-03 +8.161110e-01 +9.572535e+02 +3.244062e+02     Pix  0 48
+2.734336e-03 +8.372716e-01 +9.624688e+02 +3.023508e+02     Pix  0 49
+2.875259e-03 +9.016395e-01 +9.144770e+02 +3.256358e+02     Pix  0 50
+2.732789e-03 +8.115945e-01 +9.761170e+02 +3.004467e+02     Pix  0 51
+2.719490e-03 +7.942101e-01 +9.806160e+02 +2.744933e+02     Pix  0 52
+2.609438e-03 +8.127710e-01 +9.835658e+02 +2.498317e+02     Pix  0 53
+2.683404e-03 +8.041733e-01 +9.860956e+02 +2.875456e+02     Pix  0 54
+2.674108e-03 +7.893815e-01 +9.858574e+02 +2.753286e+02     Pix  0 55
+2.626470e-03 +7.771793e-01 +9.887314e+02 +2.572570e+02     Pix  0 56
+2.617235e-03 +7.399861e-01 +1.005421e+03 +2.702657e+02     Pix  0 57
+2.618092e-03 +7.892916e-01 +9.964495e+02 +2.671242e+02     Pix  0 58
+2.721764e-03 +8.420977e-01 +9.431066e+02 +3.033093e+02     Pix  0 59
+2.607377e-03 +7.715801e-01 +9.987705e+02 +2.772568e+02     Pix  0 60
+2.507299e-03 +7.730372e-01 +1.002241e+03 +2.624492e+02     Pix  0 61
+2.598401e-03 +8.186180e-01 +9.813773e+02 +2.660774e+02     Pix  0 62
+2.633900e-03 +8.134347e-01 +9.742275e+02 +3.036939e+02     Pix  0 63
+2.638395e-03 +7.523500e-01 +9.864111e+02 +2.816956e+02     Pix  0 64
+2.729117e-03 +8.323782e-01 +9.382843e+02 +3.074686e+02     Pix  0 65
+2.625770e-03 +8.597856e-01 +9.603639e+02 +3.183258e+02     Pix  0 66
+2.567596e-03 +7.879802e-01 +9.865339e+02 +2.853693e+02     Pix  0 67
+2.543438e-03 +7.742325e-01 +9.868026e+02 +2.590764e+02     Pix  0 68
+2.494640e-03 +7.436864e-01 +1.011565e+03 +2.666039e+02     Pix  0 69
+2.502784e-03 +7.827867e-01 +9.943776e+02 +2.571634e+02     Pix  0 70
+2.439522e-03 +7.501702e-01 +1.004713e+03 +2.428303e+02     Pix  0 71
+2.580310e-03 +7.862774e-01 +9.776727e+02 +3.007865e+02     Pix  0 72
+2.428891e-03 +7.455803e-01 +1.005176e+03 +2.748620e+02     Pix  0 73
+2.421896e-03 +7.134881e-01 +1.025223e+03 +2.244726e+02     Pix  0 74
+2.445746e-03 +7.397359e-01 +1.005668e+03 +2.728576e+02     Pix  0 75
+2.466141e-03 +7.709292e-01 +1.005711e+03 +2.640349e+02     Pix  0 76
+2.649867e-03 +8.116332e-01 +9.419881e+02 +3.017043e+02     Pix  0 77
+2.532580e-03 +7.851838e-01 +9.858552e+02 +2.988168e+02     Pix  0 78
+2.171828e-03 +6.780902e-01 +1.055885e+03 +2.263502e+02     Pix  0 79
+2.846232e-03 +8.584803e-01 +9.692656e+02 +3.401098e+02     Pix  1  0
+2.995716e-03 +8.681367e-01 +9.482709e+02 +3.396802e+02     Pix  1  1
+3.044171e-03 +8.547770e-01 +9.366143e+02 +3.398168e+02     Pix  1  2
+3.069271e-03 +8.413717e-01 +9.406376e+02 +3.659742e+02     Pix  1  3
+3.026413e-03 +8.762926e-01 +9.361691e+02 +3.610366e+02     Pix  1  4
+2.968081e-03 +8.491661e-01 +9.650319e+02 +3.109488e+02     Pix  1  5
+3.081980e-03 +8.949592e-01 +9.385062e+02 +3.671977e+02     Pix  1  6
+2.904498e-03 +8.076318e-01 +9.653781e+02 +3.391873e+02     Pix  1  7
+3.103142e-03 +8.670463e-01 +9.264550e+02 +3.480046e+02     Pix  1  8
+3.003954e-03 +8.578151e-01 +9.401469e+02 +3.691418e+02     Pix  1  9
+3.011910e-03 +8.975468e-01 +9.354758e+02 +3.380809e+02     Pix  1 10
+2.944334e-03 +8.322602e-01 +9.570590e+02 +3.163509e+02     Pix  1 11
+2.927980e-03 +8.680443e-01 +9.518863e+02 +3.569970e+02     Pix  1 12
+3.014106e-03 +8.642855e-01 +9.355657e+02 +3.474004e+02     Pix  1 13
+2.927836e-03 +8.055580e-01 +9.662789e+02 +3.082669e+02     Pix  1 14
+2.936197e-03 +9.059604e-01 +9.355324e+02 +3.524914e+02     Pix  1 15
+2.865448e-03 +8.194446e-01 +9.734583e+02 +3.063857e+02     Pix  1 16
+2.910858e-03 +8.256481e-01 +9.534269e+02 +3.155628e+02     Pix  1 17
