# IV test from Mon, 22 Jun 2015 16:43:42 CDT + 14915000 nsec
#Test Parameters:
#   HV Supply:      Keithley2410
#   Voltage Start:  0
#   Voltage Stop:   600
#   Voltage Step:   10
#   Delay(s):       1
#   Compliance(uA): 100
#voltage(V)	current(A)	timestamp
  +0.000	-3.347376e-09	2015-06-22 21:43:42.014915000Z
 -10.000	-2.116901e-07	2015-06-22 21:43:43.800531000Z
 -20.000	-3.051865e-07	2015-06-22 21:43:45.404779000Z
 -30.000	-3.816205e-07	2015-06-22 21:43:47.006644000Z
 -40.000	-4.515081e-07	2015-06-22 21:43:48.601624000Z
 -50.000	-6.164862e-07	2015-06-22 21:43:50.204127000Z
 -60.000	-1.322787e-06	2015-06-22 21:43:54.816651001Z
 -70.000	-3.325235e-06	2015-06-22 21:43:56.412756001Z
 -80.000	-1.202610e-05	2015-06-22 21:43:59.522168001Z
 -90.000	-1.705407e-05	2015-06-22 21:44:01.135292000Z
-100.000	-2.077086e-05	2015-06-22 21:44:02.740527000Z
-110.000	-2.418069e-05	2015-06-22 21:44:04.339646000Z
-120.000	-2.774583e-05	2015-06-22 21:44:05.939042001Z
-130.000	-3.142059e-05	2015-06-22 21:44:07.528890001Z
-140.000	-3.552718e-05	2015-06-22 21:44:09.123203000Z
-150.000	-4.044529e-05	2015-06-22 21:44:10.733287000Z
-160.000	-4.643294e-05	2015-06-22 21:44:12.366631000Z
-170.000	-5.351641e-05	2015-06-22 21:44:13.965282000Z
-180.000	-6.169551e-05	2015-06-22 21:44:15.555869000Z
-190.000	-7.068896e-05	2015-06-22 21:44:17.149891001Z
-200.000	-8.053976e-05	2015-06-22 21:44:18.749278000Z
-210.000	-9.109343e-05	2015-06-22 21:44:20.344879001Z
-220.000	-9.999913e-05	2015-06-22 21:44:21.988896001Z
#Sweep was aborted on compliance
